aX,aY,aZ,gX,gY,gZ
0.089,-0.123,1.027,24.048,-33.081,23.56
0.079,-0.125,1.025,24.475,-28.748,24.658
0.074,-0.126,1.046,24.414,-24.292,25.696
0.076,-0.129,1.077,23.987,-20.447,26.733
0.084,-0.133,1.101,23.071,-17.151,27.527
0.098,-0.141,1.113,21.24,-14.343,28.198
0.111,-0.152,1.109,19.409,-12.024,28.748
0.118,-0.168,1.104,17.212,-9.521,28.87
0.122,-0.189,1.096,15.259,-7.141,28.687
0.126,-0.218,1.088,13.672,-5.005,27.954
0.125,-0.251,1.09,12.085,-2.93,26.55
0.128,-0.28,1.102,10.62,-1.099,24.658
0.135,-0.305,1.108,9.033,0.244,22.156
0.142,-0.327,1.107,6.836,1.16,19.226
0.147,-0.345,1.104,4.028,2.014,15.625
0.152,-0.354,1.079,0.549,2.869,11.78
0.155,-0.358,1.049,-3.357,3.906,7.446
0.16,-0.357,1.031,-7.996,5.31,2.93
0.164,-0.353,1.025,-12.817,6.653,-1.465
0.167,-0.351,1.02,-18.311,8.24,-5.005
0.167,-0.355,1.022,-24.17,9.46,-9.216
0.165,-0.358,1.022,-29.968,10.376,-13.672
0.165,-0.355,1.004,-36.133,11.414,-18.188
0.167,-0.344,0.96,-42.114,12.207,-22.705
0.168,-0.329,0.918,-47.791,13.733,-27.466
0.168,-0.31,0.893,-53.04,15.93,-31.86
0.171,-0.289,0.871,-57.861,18.433,-36.316
0.174,-0.265,0.861,-62.195,21.362,-40.466
0.174,-0.239,0.87,-65.735,23.926,-44.495
0.177,-0.205,0.879,-68.726,26.062,-48.523
0.18,-0.165,0.859,-71.472,27.954,-52.063
0.183,-0.133,0.824,-73.73,29.663,-55.054
0.187,-0.105,0.79,-75.134,31.555,-57.556
0.201,-0.073,0.757,-75.745,33.691,-59.998
0.215,-0.042,0.748,-75.623,35.889,-62.256
0.228,-0.004,0.795,-75.134,37.476,-64.148
0.238,0.033,0.839,-74.158,37.964,-65.796
0.241,0.065,0.86,-72.815,37.354,-67.017
0.238,0.09,0.869,-70.923,36.133,-67.749
0.231,0.103,0.85,-68.542,34.851,-68.359
0.224,0.105,0.793,-65.308,33.752,-68.726
0.229,0.108,0.72,-60.974,33.691,-68.97
0.241,0.114,0.652,-55.42,34.363,-69.519
