aX,aY,aZ,gX,gY,gZ
0.025,-0.159,1.013,0.427,-4.517,6.897
0.026,-0.16,1.019,0.854,-4.272,6.836
0.025,-0.163,1.021,1.282,-4.15,6.531
0.025,-0.164,1.023,1.526,-3.967,6.531
0.025,-0.166,1.023,2.014,-3.845,6.226
0.025,-0.165,1.023,2.258,-3.784,5.92
0.027,-0.165,1.023,2.625,-3.601,5.676
0.029,-0.164,1.024,2.869,-3.479,5.493
0.03,-0.163,1.024,3.052,-3.296,5.371
0.033,-0.161,1.027,3.235,-3.174,5.005
0.034,-0.16,1.028,3.723,-3.113,4.822
0.036,-0.16,1.034,3.845,-3.052,4.395
,,,,,
-0.158,-0.337,1.161,-9.216,-11.841,-33.142
-0.168,-0.342,1.174,-10.559,-13.611,-36.072
-0.175,-0.347,1.193,-11.658,-15.442,-39.185
-0.183,-0.356,1.21,-13.428,-17.456,-42.542
-0.193,-0.361,1.229,-15.259,-19.409,-46.143
-0.2,-0.364,1.254,-17.273,-21.79,-49.805
-0.21,-0.361,1.274,-19.348,-24.353,-53.65
-0.219,-0.354,1.283,-21.423,-27.1,-57.678
-0.231,-0.345,1.281,-23.743,-30.029,-61.646
-0.242,-0.335,1.267,-26.184,-32.776,-65.552
-0.256,-0.325,1.256,-28.625,-35.645,-69.885
-0.267,-0.315,1.247,-31.189,-38.574,-73.975
-0.276,-0.303,1.25,-33.875,-41.687,-78.003
-0.281,-0.288,1.266,-36.621,-44.739,-81.97
-0.28,-0.272,1.277,-39.124,-47.852,-85.815
-0.276,-0.255,1.273,-41.87,-51.147,-89.6
-0.275,-0.234,1.269,-44.312,-54.443,-93.506
-0.274,-0.214,1.27,-47.119,-57.678,-97.168
-0.273,-0.195,1.264,-49.866,-61.035,-100.525
-0.273,-0.176,1.273,-52.734,-64.209,-104.065
-0.274,-0.154,1.282,-55.481,-67.383,-107.544
-0.273,-0.128,1.279,-58.167,-70.618,-110.718
-0.269,-0.101,1.266,-61.035,-73.914,-113.708
-0.266,-0.075,1.249,-63.843,-77.026,-116.821
-0.266,-0.05,1.233,-66.772,-79.651,-119.629
-0.264,-0.023,1.232,-69.824,-82.092,-122.498
-0.26,0,1.236,-72.998,-84.595,-125.183
-0.253,0.022,1.24,-76.294,-86.609,-127.258
-0.245,0.048,1.236,-79.407,-89.111,-129.089
-0.239,0.074,1.221,-82.581,-91.187,-130.981
-0.23,0.107,1.213,-85.449,-93.079,-132.812
-0.221,0.135,1.201,-88.257,-95.337,-134.705
-0.211,0.163,1.192,-90.942,-97.351,-136.169
-0.205,0.196,1.186,-93.689,-99.182,-137.573
-0.201,0.234,1.183,-96.008,-101.135,-139.038
-0.196,0.274,1.185,-98.511,-102.844,-140.137
-0.192,0.306,1.177,-101.379,-104.37,-140.93
-0.187,0.345,1.163,-104.126,-105.713,-141.296
-0.179,0.371,1.156,-107.056,-106.995,-141.724
-0.172,0.398,1.14,-110.291,-108.215,-141.785
-0.168,0.422,1.122,-113.892,-109.253,-141.479
-0.16,0.45,1.116,-117.493,-110.352,-140.991
-0.157,0.477,1.096,-121.094,-111.328,-140.259
-0.153,0.507,1.071,-124.634,-112.244,-139.343
-0.152,0.539,1.035,-128.479,-112.976,-138.184
-0.153,0.568,0.993,-132.263,-113.708,-136.902
-0.152,0.6,0.954,-136.475,-113.892,-135.193
-0.155,0.628,0.914,-140.808,-113.647,-133.057
-0.157,0.657,0.883,-145.264,-112.976,-130.676
-0.154,0.685,0.857,-149.475,-112.244,-128.113
-0.155,0.707,0.824,-153.625,-111.389,-125.366
-0.16,0.724,0.788,-157.593,-110.352,-122.681
-0.166,0.746,0.745,-161.133,-109.314,-119.568
-0.179,0.769,0.692,-164.673,-107.727,-116.516
-0.193,0.795,0.643,-168.152,-105.713,-113.22
-0.203,0.819,0.599,-171.997,-103.088,-109.985
-0.208,0.839,0.564,-175.537,-100.22,-106.262
-0.212,0.856,0.52,-178.955,-97.107,-102.722
-0.216,0.871,0.484,-182.312,-93.75,-98.999
-0.217,0.886,0.452,-185.181,-90.515,-95.459
-0.218,0.896,0.418,-187.744,-87.402,-91.797
-0.22,0.903,0.39,-190.002,-84.045,-88.44
-0.228,0.91,0.354,-192.017,-80.627,-85.327
-0.233,0.915,0.324,-193.481,-77.087,-82.275
-0.233,0.918,0.29,-194.946,-73.425,-79.59
-0.229,0.918,0.253,-196.533,-69.702,-77.026
-0.225,0.919,0.227,-197.937,-65.918,-74.585
-0.216,0.922,0.206,-199.402,-62.439,-72.571
-0.21,0.92,0.177,-200.378,-59.082,-70.496
-0.205,0.911,0.137,-201.172,-55.908,-68.848
-0.198,0.896,0.106,-201.843,-52.673,-67.383
-0.201,0.873,0.056,-202.698,-49.561,-66.162
-0.197,0.852,0.009,-203.43,-46.082,-65.552
-0.192,0.836,-0.031,-204.773,-42.786,-65.43
