aX,aY,aZ,gX,gY,gZ
-0.168,0.302,-0.568,-96.13,-14.221,-28.931
-0.173,0.281,-0.565,-90.759,-14.221,-26.245
-0.181,0.271,-0.571,-85.083,-14.771,-23.376
-0.193,0.263,-0.594,-79.285,-15.93,-20.325
-0.21,0.248,-0.621,-72.998,-17.151,-17.212
-0.232,0.231,-0.661,-66.162,-18.738,-14.282
-0.256,0.208,-0.718,-59.509,-19.592,-11.597
-0.277,0.182,-0.762,-52.734,-20.569,-9.094
-0.292,0.155,-0.803,-46.936,-21.118,-6.775
-0.299,0.126,-0.851,-42.175,-21.301,-4.578
-0.307,0.094,-0.902,-38.147,-20.752,-2.808
-0.313,0.06,-0.957,-35.461,-19.897,-0.61
-0.327,0.024,-1.004,-33.752,-18.25,1.77
-0.333,-0.001,-1.012,-33.081,-15.747,4.333
-0.325,-0.025,-1.03,-32.288,-13,6.775
-0.319,-0.047,-1.038,-31.799,-10.742,9.644
-0.316,-0.066,-1.045,-31.25,-8.057,12.085
-0.312,-0.079,-1.05,-30.518,-5.92,14.771
-0.309,-0.083,-1.049,-29.663,-3.601,17.578
-0.306,-0.085,-1.043,-27.588,-0.977,20.63
-0.303,-0.087,-1.02,-23.437,1.282,23.682
-0.292,-0.085,-0.995,-17.456,3.296,26.733
-0.283,-0.088,-0.976,-9.521,4.456,29.358
-0.283,-0.091,-0.944,0.488,5.127,31.677
-0.277,-0.089,-0.904,11.658,5.615,33.386
-0.263,-0.087,-0.866,24.536,5.798,34.729
-0.253,-0.091,-0.841,37.964,5.371,35.645
-0.245,-0.096,-0.827,51.208,4.395,36.194
-0.24,-0.097,-0.831,64.27,3.479,36.499
-0.237,-0.1,-0.848,75.867,3.113,36.804
-0.239,-0.098,-0.871,85.51,3.296,36.621
-0.236,-0.094,-0.903,94.238,4.333,36.133
-0.237,-0.089,-0.934,101.563,6.714,35.278
-0.242,-0.072,-0.92,107.422,10.071,34.607
-0.239,-0.044,-0.891,112.793,14.16,33.813
-0.229,-0.014,-0.855,117.493,18.433,33.02
-0.223,0.018,-0.807,121.887,22.278,32.41
-0.218,0.057,-0.773,126.099,25.94,31.738
-0.213,0.095,-0.767,129.883,28.931,31.311
-0.215,0.132,-0.787,133.362,32.227,31.25
-0.228,0.17,-0.823,136.475,35.95,31.25
-0.241,0.212,-0.824,139.221,41.016,31.799
-0.241,0.26,-0.818,141.602,46.997,32.654
-0.241,0.312,-0.785,144.653,53.406,33.63
-0.24,0.367,-0.724,148.193,59.875,35.156
-0.234,0.417,-0.68,152.344,65.796,36.926
-0.237,0.468,-0.638,157.043,71.106,38.94
-0.249,0.512,-0.615,162.476,75.378,41.687
-0.262,0.542,-0.587,168.579,79.773,44.312
-0.27,0.572,-0.531,174.561,84.412,46.997
-0.271,0.599,-0.493,180.359,88.684,49.805
-0.268,0.626,-0.412,185.852,92.59,52.612
-0.272,0.676,-0.322,190.491,95.886,55.786
-0.286,0.717,-0.288,194.824,98.083,59.387
-0.302,0.736,-0.233,198.669,99.976,63.11
-0.315,0.742,-0.177,201.416,101.501,66.711
-0.315,0.723,-0.126,202.759,102.905,70.007
-0.304,0.689,-0.072,202.087,103.577,72.998
-0.311,0.679,0.001,198.608,103.149,75.623
-0.341,0.697,0.017,192.81,102.356,78.125
-0.358,0.721,-0.025,185.73,101.807,80.688
-0.375,0.743,-0.021,177.368,102.6,83.801
-0.388,0.755,-0.028,168.457,103.943,87.585
-0.399,0.739,0.013,160.156,106.506,91.675
-0.404,0.719,0.11,152.527,109.436,95.154
-0.417,0.698,0.17,146.362,111.633,97.778
-0.427,0.676,0.206,141.846,113.22,99.121
-0.437,0.667,0.196,137.695,114.502,99.915
-0.438,0.67,0.16,134.033,116.394,100.83
-0.432,0.672,0.106,130.432,118.713,102.966
-0.443,0.652,0.101,127.014,121.826,105.53
-0.443,0.614,0.127,123.84,126.099,108.459
-0.432,0.557,0.191,121.155,130.676,110.535
-0.409,0.5,0.306,118.835,134.888,111.633
-0.39,0.457,0.413,117.371,137.146,111.877
-0.391,0.428,0.496,116.333,137.512,111.694
-0.4,0.416,0.544,115.295,136.719,111.084
-0.421,0.4,0.544,114.197,135.681,110.779
-0.443,0.37,0.56,112.915,135.254,110.474
-0.459,0.323,0.602,110.901,135.315,109.985
-0.46,0.268,0.656,108.093,135.437,109.009
-0.461,0.215,0.702,104.736,134.949,107.544
-0.465,0.169,0.746,100.586,133.85,105.225
-0.482,0.143,0.769,96.436,132.263,102.722
-0.491,0.138,0.762,92.163,130.554,99.731
