aX,aY,aZ,gX,gY,gZ
-0.181,0.172,1.032,-39.368,-4.883,8.362
-0.218,0.142,1.057,-30.701,-6.409,8.606
-0.252,0.058,1.102,-22.827,-8.301,5.554
-0.26,-0.064,1.169,-10.62,-10.742,2.991
-0.286,-0.197,1.231,9.766,-13.977,5.92
-0.342,-0.275,1.249,27.71,-14.343,16.174
-0.317,-0.242,1.195,36.438,-8.85,33.447
-0.231,-0.123,1.077,46.265,-3.906,54.626
-0.245,0.258,1.652,53.528,-7.629,71.35
-0.031,0.263,1.269,103.882,17.822,68.237
-0.113,0.318,1.062,67.139,46.875,54.138
-0.083,0.231,1.029,76.172,36.133,32.959
-0.062,0.206,1.104,88.684,28.442,20.447
-0.069,0.126,1.044,82.581,25.635,13.733
-0.08,0.056,1.073,72.144,23.499,8.606
-0.099,-0.011,1.065,65.735,21.301,7.385
-0.104,-0.074,1.066,43.884,20.569,9.338
-0.114,-0.028,1.063,5.981,22.095,12.451
-0.094,-0.006,1.065,1.099,19.409,14.099
-0.093,0.015,1.084,1.16,15.198,14.465
-0.093,0.017,1.064,6.165,12.39,13.733
-0.075,-0.01,1.051,8.667,9.583,13.428
-0.115,-0.034,1.02,9.949,7.385,17.7
-0.129,0.052,1.003,7.996,7.751,23.01
-0.112,0.083,1.02,-6.287,9.827,20.752
-0.064,0.046,1.081,-13.062,11.353,15.869
-0.024,0.101,1.049,-4.944,13.367,13.55
-0.019,0.145,1.037,-0.488,13.245,7.751
-0.032,0.062,1.066,1.709,10.132,-5.615
-0.083,-0.006,1.102,1.404,7.263,-19.531
-0.073,-0.062,1.05,4.7,4.7,-26.917
-0.093,-0.14,1.069,2.625,2.075,-26.672
-0.077,-0.121,1.042,4.15,1.343,-20.386
-0.078,-0.108,1.046,1.77,0.061,-13.245
-0.075,-0.067,1.047,1.221,-0.427,-6.287
-0.088,-0.005,1.024,1.892,0.61,-0.305
-0.103,0.008,1.031,0.916,3.174,3.174
-0.105,-0.006,1.02,0.793,7.08,6.165
-0.081,0.036,0.998,0.916,12.207,8.972
-0.078,0.042,1.046,1.099,19.958,7.751
-0.032,0.017,1.032,1.526,22.4,4.272
-0.032,-0.039,1.069,4.517,20.935,0.61
-0.016,-0.021,1.037,2.747,21.362,-0.61
-0.012,0.002,1.055,2.991,20.081,-0.427
-0.008,-0.012,1.051,3.296,19.226,-1.892
0.01,-0.013,1.068,2.747,18.555,-1.831
0.032,0.021,1.053,2.319,16.724,-2.93
0.01,-0.019,1.042,1.587,14.221,-6.042
-0.016,-0.074,1.041,3.357,11.047,-8.789
-0.042,-0.028,1.051,3.479,7.69,-10.254
-0.078,-0.079,1.076,-3.723,5.066,-15.869
-0.068,-0.104,1.064,-13.916,4.517,-17.212
-0.092,-0.115,1.041,-18.494,2.808,-10.437
-0.034,-0.002,1.042,-14.343,2.197,-1.282
-0.052,0.017,1.039,-9.827,2.075,0.977
-0.032,0.014,1.04,-2.991,1.526,0.671
-0.016,-0.014,1.052,3.845,0.854,0.366
0.01,-0.006,1.055,0.549,1.038,2.869
0.001,-0.013,1.052,-4.395,0.977,5.188
-0.011,-0.007,1.051,-6.531,0.732,6.592
-0.012,0.013,1.043,-18.005,3.601,8.667
-0.009,0.06,1.045,-23.621,4.883,8.911
-0.029,0.051,1.051,-17.944,3.601,1.587
0.022,-0.112,1.06,-21.118,3.54,-3.845
0.01,-0.03,1.046,-46.875,8.85,9.094
-0.032,0.054,1.042,-59.875,11.78,16.663
-0.013,0.051,1.043,-43.579,7.324,13.245
-0.003,-0.001,1.057,-27.527,3.784,11.658
0.001,0.009,1.046,-43.64,8.484,17.334
0,0.089,1.022,-47.241,9.949,23.499
-0.023,0.071,1.031,-4.15,0.977,21.545
-0.033,0.108,1.032,10.315,0.122,19.775
-0.015,0.096,1.033,19.348,-0.549,16.174
-0.005,0.057,1.042,29.053,-1.221,10.986
-0.01,0.059,1.039,32.654,-1.526,8.362
-0.021,0.085,1.036,34.485,-1.953,5.188
-0.008,0.06,1.044,39.856,-2.38,-0.793
-0.01,0.054,1.044,42.725,-2.686,-4.761
0.031,0.005,1.067,40.344,-2.93,-8.911
0.054,0.007,1.083,26.306,-2.319,-8.789
0.06,0.067,1.043,2.563,-1.892,-4.822
-0.079,0.149,1.017,-6.592,-2.197,-6.47
-0.016,0.119,1.064,1.465,-2.686,-12.573
0.047,0.168,1.045,21.973,-1.221,-16.785
0.077,0.193,1.072,30.579,-2.869,-25.574
0.019,0.172,1.002,31.738,-3.235,-39.368
-0.026,0.081,1.073,41.382,-3.906,-52.917
-0.065,-0.001,1.082,38.879,-2.136,-64.697
-0.021,-0.094,1.137,29.358,-1.648,-74.585
-0.058,-0.132,0.996,2.93,7.385,-73.73
-0.048,-0.172,1.051,2.747,5.249,-63.049
-0.013,-0.097,1.05,1.099,5.005,-48.706
0.006,-0.125,1.059,0.793,1.16,-37.903
0,-0.049,1.021,1.404,-0.793,-26.794
0.003,-0.034,1.076,1.16,-4.15,-19.287
-0.016,-0.018,1.048,3.54,-4.211,-17.7
-0.048,0.001,1.094,0.549,-2.136,-18.433
-0.068,-0.019,1.066,0.61,0.916,-22.4
-0.048,-0.101,1.07,0.183,5.127,-21.973
-0.042,-0.166,1.044,2.319,7.812,-12.39
0.011,-0.226,1.06,3.723,8.728,3.784
0.002,-0.142,1.025,2.075,9.216,21.423
-0.009,-0.03,1.055,2.747,4.883,32.837
-0.026,-0.004,1.052,2.93,4.211,31.433
0.03,0.01,1.036,2.014,5.615,27.527
0.015,-0.001,1.05,2.136,5.737,21.24
0.036,-0.001,1.038,1.953,4.639,16.724
0.018,0.017,1.042,1.709,3.967,13
0.016,-0.097,1.069,2.014,2.747,8.301
0.021,-0.002,1.014,2.197,5.737,17.395
-0.009,0.069,1.059,2.197,3.784,18.677
-0.029,-0.027,1.039,1.831,4.15,3.967
0.038,0.112,1.061,2.869,5.188,13.306
0.057,-0.025,0.999,2.319,9.521,17.944
0.026,0.063,1.044,1.221,-0.549,3.235
0.073,0.234,1.055,1.16,-4.272,4.15
0.115,0.27,1.012,0.305,-1.16,-4.272
