aX,aY,aZ,gX,gY,gZ
0.019,-0.105,1.085,0.977,-3.601,-3.357
0.014,-0.101,1.092,0.854,-4.028,-3.418
0.011,-0.096,1.085,0.671,-4.639,-3.479
0.018,-0.091,1.075,0.305,-5.432,-3.601
0.022,-0.082,1.056,-0.305,-5.859,-3.723
0.024,-0.082,1.041,-0.488,-5.981,-3.784
0.015,-0.085,1.046,-0.61,-6.104,-3.662
,,,,,
0.274,-0.224,1.281,-9.033,3.479,3.845
0.278,-0.238,1.39,-10.986,4.089,5.127
0.283,-0.246,1.495,-13.062,3.906,6.042
0.29,-0.25,1.583,-15.32,3.357,7.019
0.295,-0.254,1.642,-17.883,2.38,7.935
0.296,-0.251,1.681,-20.386,1.038,8.789
0.296,-0.242,1.697,-22.949,-0.549,9.705
0.291,-0.233,1.699,-25.696,-2.014,10.742
0.276,-0.218,1.709,-28.748,-3.357,11.963
0.263,-0.198,1.737,-31.311,-4.883,12.939
0.255,-0.176,1.757,-33.997,-6.836,14.221
0.251,-0.159,1.75,-37.048,-9.583,15.93
0.253,-0.149,1.736,-39.856,-12.573,17.639
0.249,-0.144,1.716,-42.908,-15.93,19.592
0.249,-0.139,1.698,-45.41,-19.287,21.362
0.247,-0.135,1.685,-47.18,-23.071,23.132
0.243,-0.133,1.681,-48.828,-27.283,24.902
0.234,-0.131,1.67,-50.11,-31.738,26.672
0.23,-0.123,1.648,-51.025,-36.865,28.137
0.235,-0.114,1.606,-51.941,-42.236,29.663
0.24,-0.106,1.545,-52.551,-47.241,31.494
0.249,-0.095,1.475,-53.101,-51.819,33.264
0.266,-0.088,1.407,-53.772,-55.237,35.034
0.274,-0.087,1.341,-54.138,-57.617,36.499
0.278,-0.084,1.289,-54.321,-58.838,37.964
0.282,-0.084,1.241,-54.077,-59.265,39.063
0.287,-0.083,1.194,-53.406,-58.594,39.856
0.292,-0.085,1.146,-52.612,-57.312,40.283
0.295,-0.094,1.078,-51.025,-55.42,40.588
0.297,-0.102,1.005,-48.645,-52.612,40.588
0.3,-0.105,0.956,-45.227,-48.889,40.1
0.295,-0.109,0.928,-41.016,-44.373,39.063
0.275,-0.114,0.923,-36.011,-39.551,37.842
0.253,-0.11,0.942,-30.701,-35.278,36.499
0.228,-0.107,0.988,-25.085,-31.738,34.851
0.201,-0.102,1.041,-19.958,-29.236,33.02
0.184,-0.09,1.073,-15.198,-27.954,31.067
0.189,-0.082,1.068,-10.864,-27.771,29.114
0.194,-0.08,1.034,-6.592,-27.649,27.161
0.199,-0.069,0.994,-2.258,-27.466,25.391
0.198,-0.056,0.968,2.014,-26.855,23.865
0.177,-0.043,0.965,5.92,-26.184,22.644
0.154,-0.029,0.987,9.216,-25.818,21.79
0.132,-0.019,1.029,11.658,-25.696,21.057
